Fixed Point: 810e810e810e810e810e810e810e810e | Rounds: 20 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f0f | Rounds: 21 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: b40fb40fb40fb40fb40fb40fb40fb40f | Rounds: 7 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: b412b412b412b412b412b412b412b412 | Rounds: 23 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 8a138a138a138a138a138a138a138a13 | Rounds: 36 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 032f2615032f2615032f2615032f2615 | Rounds: 19 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 1b161b161b161b161b161b161b161b16 | Rounds: 24 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 94169416941694169416941694169416 | Rounds: 23 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: cef03017cef03017cef03017cef03017 | Rounds: 18 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 18181818181818181818181818181818 | Rounds: 36 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 1a181a181a181a181a181a181a181a18 | Rounds: 3 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 181a181a181a181a181a181a181a181a | Rounds: 3 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 161b161b161b161b161b161b161b161b | Rounds: 24 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c | Rounds: 9 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 241d241d241d241d241d241d241d241d | Rounds: 22 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 96ae341e96ae341e96ae341e96ae341e | Rounds: 24 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 467df720467df720467df720467df720 | Rounds: 20 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 65f5b32265f5b32265f5b32265f5b322 | Rounds: 7 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: d93aec23d93aec23d93aec23d93aec23 | Rounds: 43 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 1d241d241d241d241d241d241d241d24 | Rounds: 22 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: fb25fb25fb25fb25fb25fb25fb25fb25 | Rounds: 22 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
Fixed Point: 15032f2615032f2615032f2615032f26 | Rounds: 19 | Key: b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1
